Lieu;Communes;Latitude;Longitude
Saint-Nazaire;Hotel La Luna;47.275852;-2.213405
Saint-Nazaire;Hotel Le Bretagne;47.274944;-2.213688
Saint-Nazaire;Brit Hotel;47.285737;-2.211877
Saint-Nazaire;Hotel Le Berry;47.284978;-2.210870
Pornichet;Camping Bel Air;47.249874;-2.321191
Saint-Nazaire;Camping de l'Ève;47.241524;-2.267480
Saint-Nazaire;Hotel La Belle Étoile;47.279496;-2.210527
Saint-Nazaire;Hotel Eco Nuit;47.266996;-2.253211
Donges;Camping Les Tainières;47.329483;-2.082653
Saint-André-Des-Eaux;Les Chalands Fleuris;47.321091;-2.307380
Pornichet;GCU;47.247109;-2.312293
