Commune;Type;Nom;Latitude;Longitude
La-Chapelle-des-marais;Restaurant;Crêperie du Sabotier;47.445497;-2.244379
Saint-Nazaire;Restaurant;Le 8ème;47.273777;-2.21469
Saint-Nazaire;Restaurant;Le Sabayon;47.276552;-2.209573
Saint-Nazaire;Restaurant;Assya Couscous;47.263495;-2.242000
Pornichet;Restaurant;Les Tourelles;47.256952;-2.338964
Saint-André-des-Eaux;Restaurant;Restaurant Tykaz;47.314833;-2.311416
Saint-André-des-Eaux;Restaurant;Crêperie Ty Manou;47.313807;-2.311866
Saint-Joachim;Restaurant;La Mare aux Oiseaux;47.373987;-2.213308
Donges;Restaurant;La Pommeraie;47.354831;-2.104243
Saint-Lyphard;Restaurant;L'Auberge de Bréca;47.363058;-2.314245
Pornichet;Restaurant;L'Atypic;47.258943;-2.345931
Pornichet;Restaurant;Le Grain de Folie;47.271408;-2.350222
Montoir-de-Bretagne;Restaurant;L'Authentik;47.326569;-2.14787
Saint-Nazaire;PicNic;Aire de repos - Le Vivier;47.313587;-2.262077
