Lieux;Art;Type;Ville;Latitude;Longitude
Scène Nationale ;Théâtre;Théâtre;Saint-Nazaire;47.277603;-2.204808
LiFE (Lieu international des formes émergentes);Multiple;Salle de spectacle;Saint-Nazaire;47.275112;-2.203591
Théâtre Athénor;Théâtre;Théâtre;Saint-Nazaire;47.275973;-2.215698
Le Grand Café;Multiple;Exposition;Saint-Nazaire;47.273104;-2.206113
La Garage;Multiple;Résidence d'artistes;Saint-Nazaire;47.279353;-2.215099
Le Conservatoire;Musique;Conservatoire;Saint-Nazaire;47.27550;-2.219436
Ecole d'arts;Plastique;Ecole;Saint-Nazaire;47.272676;-2.211983
VIP;Musique;Salle de spectacle;Saint-Nazaire;47.275112;-2.203591
EOL;Nature;Musée;Saint-Nazaire;47.271507;-2.201443
Escal'Atlantic;Naval;Musée;Saint-Nazaire;47.276206;-2.201922
Sous-Marin Espadon;Naval;Musée;Saint-Nazaire;47.275784;-2.199390
Monument du Commando;Guerre;Mémorial;Saint-Nazaire;47.272056;-2.198820
Galerie des Franciscains;Plastique;Exposition;Saint-Nazaire;47.272994;-2.212083
Pont de Saint-Nazaire;Histoire;Lieux;Saint-Nazaire;47.2833;-2.169156
Le Tumulus de Dissignac;Histoire;Lieux;Saint-Nazaire;47.271471;-2.277745
Feu de Porcé;Histoire;Musée;Saint-Nazaire;47.253993;-2.249775
Phare de Kerlédé;Naval;Lieux;Saint-Nazaire;47.260300;-2.246397
Phare à terre de Villès-Martin;Naval;Lieux;Saint-Nazaire;47.255537;-2.227553
Le Parvis;NULL;Musée;Saint-André-des-Eaux;47.313803;-2.311410
Musée des oiseaux;Nature;Musée;Trignac;47.317413;-2.189771
Musée de la Marine en Bois du Brivet;Naval;Musée;Montoir-de-Bretagne;47.32802;-2.154643
Espace A Cappella;NULL;Salle de spectacle;Besné;47.404169;-2.090534
Eglise Saint Friard;Histoire;Lieux;Besné;47.3965;-2.092261
Espace Renaissance;Multiple;Salle de spectacle;Donges;47.31883;-2.076506
Abbaye de la Blanche couronne;Histoire;Lieux;La Chappelle Launay;47.35102;-1.985783
Quai des Arts;Multiple;Salle de spectacle;Pornichet;47.265282;-2.335506
